k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
45,0,3.239078e-02,2.177274e-03,3.802852e-03,3.382435e-02,2.647655e+01,5.000000e+00,2.300000e+02,1.001649e+00,nan,5.964153e-03,1.086956e-03,5.000000e+00
45,1,1.031538e-02,2.538369e-04,3.689141e-02,5.073797e-02,2.425528e+01,5.000000e+00,2.300000e+02,1.000075e+00,nan,6.256253e-04,1.086956e-03,5.000000e+00
45,2,9.450542e-03,2.162788e-04,3.338076e-02,4.622016e-02,2.428313e+01,5.000000e+00,2.300000e+02,1.000082e+00,nan,6.905319e-04,1.086956e-03,5.000000e+00
46,0,nan,nan,3.658601e-03,nan,2.647702e+01,5.000000e+00,2.350000e+02,1.001598e+00,nan,5.952028e-03,1.063830e-03,5.000000e+00
46,1,nan,nan,3.602206e-02,nan,2.427082e+01,5.000000e+00,2.350000e+02,1.000075e+00,nan,6.135486e-04,1.063830e-03,5.000000e+00
46,2,nan,nan,3.260723e-02,nan,2.429903e+01,5.000000e+00,2.350000e+02,1.000084e+00,nan,6.780755e-04,1.063830e-03,5.000000e+00
47,0,nan,nan,3.545002e-03,nan,2.647754e+01,5.000000e+00,2.400000e+02,1.001549e+00,nan,5.931609e-03,1.041667e-03,5.000000e+00
47,1,nan,nan,3.517283e-02,nan,2.428554e+01,5.000000e+00,2.400000e+02,1.000081e+00,nan,6.024471e-04,1.041667e-03,5.000000e+00
47,2,nan,nan,3.172480e-02,nan,2.431413e+01,5.000000e+00,2.400000e+02,1.000130e+00,nan,6.655391e-04,1.041667e-03,5.000000e+00
48,0,nan,nan,3.451451e-03,nan,2.647808e+01,5.000000e+00,2.450000e+02,1.001507e+00,nan,5.874371e-03,1.020408e-03,5.000000e+00
48,1,nan,nan,3.437645e-02,nan,2.429952e+01,5.000000e+00,2.450000e+02,1.000078e+00,nan,5.920666e-04,1.020408e-03,5.000000e+00
48,2,nan,nan,3.083543e-02,nan,2.432837e+01,5.000000e+00,2.450000e+02,1.000163e+00,nan,6.564157e-04,1.020408e-03,5.000000e+00
49,0,nan,nan,3.353077e-03,nan,2.647862e+01,5.000000e+00,2.500000e+02,1.001480e+00,nan,5.794664e-03,1.000000e-03,5.000000e+00
