k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
36,1,nan,nan,2.942648e-02,nan,2.399346e+01,2.000000e+00,1.626000e+03,1.000177e+00,nan,1.220910e-03,1.351351e-03,2.000000e+00
36,2,nan,nan,2.774027e-02,nan,2.400627e+01,2.000000e+00,1.626000e+03,1.000191e+00,nan,1.294217e-03,1.351351e-03,2.000000e+00
37,0,nan,nan,3.200973e-03,nan,2.645476e+01,2.000000e+00,1.628000e+03,1.000303e+00,nan,1.040329e-02,1.315790e-03,2.000000e+00
37,1,nan,nan,2.895726e-02,nan,2.401057e+01,2.000000e+00,1.628000e+03,1.000185e+00,nan,1.176697e-03,1.315790e-03,2.000000e+00
37,2,nan,nan,2.727663e-02,nan,2.402343e+01,2.000000e+00,1.628000e+03,1.000201e+00,nan,1.248223e-03,1.315790e-03,2.000000e+00
38,0,nan,nan,3.101781e-03,nan,2.645532e+01,2.000000e+00,1.630000e+03,1.000295e+00,nan,1.026973e-02,1.282051e-03,2.000000e+00
38,1,nan,nan,2.848119e-02,nan,2.402716e+01,2.000000e+00,1.630000e+03,1.000215e+00,nan,1.135229e-03,1.282051e-03,2.000000e+00
38,2,nan,nan,2.682070e-02,nan,2.404007e+01,2.000000e+00,1.630000e+03,1.000235e+00,nan,1.205175e-03,1.282051e-03,2.000000e+00
39,0,nan,nan,3.028597e-03,nan,2.645582e+01,2.000000e+00,1.632000e+03,1.000280e+00,nan,1.007486e-02,1.250000e-03,2.000000e+00
39,1,nan,nan,2.799263e-02,nan,2.404326e+01,2.000000e+00,1.632000e+03,1.000271e+00,nan,1.097215e-03,1.250000e-03,2.000000e+00
39,2,nan,nan,2.638110e-02,nan,2.405620e+01,2.000000e+00,1.632000e+03,1.000279e+00,nan,1.165145e-03,1.250000e-03,2.000000e+00
40,0,1.007155e-02,6.770606e-04,2.947872e-03,1.285181e-02,2.645630e+01,2.000000e+00,1.634000e+03,1.000268e+00,nan,9.821114e-03,1.219512e-03,2.000000e+00
40,1,3.281794e-02,8.084302e-04,2.751264e-02,6.430841e-02,2.405888e+01,2.000000e+00,1.634000e+03,1.000281e+00,nan,1.062573e-03,1.219512e-03,2.000000e+00
40,2,3.091334e-02,7.081134e-04,2.595106e-02,6.081737e-02,2.407186e+01,2.000000e+00,1.634000e+03,1.000310e+00,nan,1.127482e-03,1.219512e-03,2.000000e+00
41,0,nan,nan,2.850799e-03,nan,2.645676e+01,2.000000e+00,1.636000e+03,1.000260e+00,nan,9.615301e-03,1.190476e-03,2.000000e+00
41,1,nan,nan,2.708814e-02,nan,2.407402e+01,2.000000e+00,1.636000e+03,1.000251e+00,nan,1.030242e-03,1.190476e-03,2.000000e+00
41,2,nan,nan,2.552999e-02,nan,2.408709e+01,2.000000e+00,1.636000e+03,1.000312e+00,nan,1.092236e-03,1.190476e-03,2.000000e+00
42,0,nan,nan,2.753157e-03,nan,2.645722e+01,2.000000e+00,1.638000e+03,1.000257e+00,nan,9.485638e-03,1.162791e-03,2.000000e+00
42,1,nan,nan,2.670014e-02,nan,2.408867e+01,2.000000e+00,1.638000e+03,1.000210e+00,nan,9.982835e-04,1.162791e-03,2.000000e+00
42,2,nan,nan,2.513366e-02,nan,2.410190e+01,2.000000e+00,1.638000e+03,1.000293e+00,nan,1.059211e-03,1.162791e-03,2.000000e+00
43,0,nan,nan,2.666473e-03,nan,2.645768e+01,2.000000e+00,1.640000e+03,1.000250e+00,nan,9.380666e-03,1.136364e-03,2.000000e+00
43,1,nan,nan,2.631932e-02,nan,2.410286e+01,2.000000e+00,1.640000e+03,1.000188e+00,nan,9.672774e-04,1.136364e-03,2.000000e+00
43,2,nan,nan,2.476228e-02,nan,2.411630e+01,2.000000e+00,1.640000e+03,1.000253e+00,nan,1.027564e-03,1.136364e-03,2.000000e+00
44,0,nan,nan,2.588409e-03,nan,2.645815e+01,2.000000e+00,1.642000e+03,1.000245e+00,nan,9.259932e-03,1.111111e-03,2.000000e+00
44,1,nan,nan,2.592981e-02,nan,2.411661e+01,2.000000e+00,1.642000e+03,1.000188e+00,nan,9.381458e-04,1.111111e-03,2.000000e+00
44,2,nan,nan,2.438455e-02,nan,2.413029e+01,2.000000e+00,1.642000e+03,1.000233e+00,nan,9.971359e-04,1.111111e-03,2.000000e+00
45,0,9.576156e-03,6.437082e-04,2.514382e-03,1.200279e-02,2.645862e+01,2.000000e+00,1.644000e+03,1.000242e+00,nan,9.128962e-03,1.086956e-03,2.000000e+00
45,1,3.035068e-02,7.473520e-04,2.553235e-02,5.950437e-02,2.412997e+01,2.000000e+00,1.644000e+03,1.000209e+00,nan,9.112867e-04,1.086956e-03,2.000000e+00
45,2,2.849818e-02,6.525688e-04,2.398586e-02,5.550084e-02,2.414384e+01,2.000000e+00,1.644000e+03,1.000238e+00,nan,9.690352e-04,1.086956e-03,2.000000e+00
46,0,nan,nan,1.426746e-03,nan,2.645884e+01,1.000000e+00,1.645000e+03,1.000239e+00,nan,9.002083e-03,1.063830e-03,1.000000e+00
46,1,nan,nan,1.454640e-02,nan,2.413748e+01,1.000000e+00,1.645000e+03,1.000223e+00,nan,8.865098e-04,1.063830e-03,1.000000e+00
46,2,nan,nan,1.365600e-02,nan,2.415146e+01,1.000000e+00,1.645000e+03,1.000253e+00,nan,9.436674e-04,1.063830e-03,1.000000e+00
